asv_id	FP.GR18286	FP.GR18059	FP.GR18262	FP.GR18061	FP.GR18100	FP.GR18097	FP.GR18066	FP.GR18077	M1	M9	FP.GR18300	FP.GR18064	FP.GR18086	FP.GR18060	FP.GR18249	FP.GR18079	FP.GR18068	FP.GR18052	FP.GR18078	M2	M10	KQZ2468_2	FP.GR18093	FP.GR18099	FP.GR18260	FP.GR18258	FP.GR18259	FP.GR18072	FP.GR18085	FP.GR18065	FP.GR18083	M3	M11	FP.GR18070	FP.GR18245	FP.GR18294	FP.GR18090	FP.GR18295	FP.GR18261	FP.GR18282	FP.GR18275	FP.GR18246	M4	M12	Plant004013	FP.GR18089	FP.GR18095	FP.GR18088	FP.GR18067	FP.GR18062	FP.GR18250	FP.GR18074	FP.GR18055	FP.GR18287	M5	FP.GR18296	FP.GR18284	FP.GR18087	FP.GR18063	FP.GR18272	FP.GR18069	FP.GR18053	FP.GR18082	FP.GR18056	FP.GR18264	M6	Plant007038	FP.GR18051	FP.GR18071	FP.GR18247	FP.GR18273	FP.GR18057	FP.GR18298	FP.GR18076	FP.GR18283	FP.GR18288	M7	FP.GR18073	FP.GR18080	FP.GR18054	FP.GR18252	FP.GR18075	FP.GR18096	FP.GR18081	FP.GR18098	FP.GR18094	M8	Plant006076
Zotu144	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu286	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu1067	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Zotu639	0	1	0	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu85	0	1	0	1	4	0	0	3	0	0	0	0	0	4	7	0	10	36	1	0	0	23	0	0	0	0	5	0	0	0	0	0	0	0	0	16	0	0	1	2	0	18	0	0	7	0	0	0	0	0	0	47	0	8	0	0	0	0	0	136	0	1	0	0	0	0	2	7	0	0	0	2	82	29	46	0	0	1	0	0	0	93	5	1	0	0	0	0
Zotu1367	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0
Zotu94	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	81	0	0	0	11	29	45	0	0	0	0	0	0	1	4	0	52	0	0	0	0	0	0	0	0	1	139	1	0	0	0	0	0	0	0	3	0	0	0	0	9	0	14	4	0	0	0	0	69	45	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0
Zotu31	0	1	56	12	4	0	14	0	0	0	0	0	0	3	0	26	0	0	0	0	0	1	0	0	1	598	18	0	0	0	0	0	3	0	0	1	0	1	271	0	1	0	1	0	68	1	5	1	923	2	0	0	0	1	3	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	2	0	234	0	1	0	0	0	87	0	12	0	0	0	0	2
Zotu4282	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu30	0	0	19	1	0	0	0	782	5	0	0	1	1	1	21	0	3	0	12	7	0	25	0	0	388	0	0	0	0	1	1	5	0	0	0	19	0	0	0	0	0	40	3	0	1	190	0	0	363	1	106	0	0	10	4	1	41	0	0	1	0	0	0	260	51	3	0	130	0	10	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	0	1	5
