	NC_pcr003	NC_pcr001	NC_pcr002
Zotu315	0	0	0
Zotu433	0	0	0
Zotu462	0	0	0
Zotu284	0	0	0
Zotu507	0	0	0
Zotu936	0	0	0
Zotu275	0	0	0
Zotu334	0	0	0
Zotu83	0	0	0
Zotu992	0	0	0
Zotu696	0	0	0
Zotu546	0	0	0
Zotu465	0	0	0
Zotu781	0	0	0
Zotu677	0	0	0
Zotu428	0	0	0
Zotu268	0	0	0
Zotu472	0	0	0
Zotu1014	0	0	0
Zotu469	0	0	0
Zotu218	0	0	0
Zotu352	0	0	0
Zotu408	0	0	0
Zotu625	0	0	0
Zotu1013	0	0	0
Zotu337	0	0	0
Zotu1012	0	0	0
Zotu702	0	0	0
Zotu329	0	0	0
Zotu815	0	0	0
Zotu426	0	0	0
Zotu1011	0	0	0
Zotu584	1	0	0
Zotu630	0	0	0
Zotu911	0	0	0
Zotu232	0	0	1
Zotu1010	0	0	0
Zotu1009	0	0	0
Zotu51	0	305	0
Zotu468	0	0	0
Zotu920	0	0	0
Zotu1024	0	0	0
Zotu483	0	0	0
Zotu679	0	0	0
Zotu820	0	0	0
Zotu822	0	0	0
Zotu432	0	0	0
Zotu387	0	0	0
Zotu298	0	0	0
Zotu583	0	0	0
Zotu856	0	0	0
Zotu1021	0	0	0
Zotu787	0	0	0
Zotu164	0	0	0
Zotu547	0	0	0
Zotu701	0	0	0
Zotu928	0	0	0
Zotu697	0	0	0
Zotu127	0	0	0
Zotu506	0	0	0
Zotu792	0	0	0
Zotu860	0	0	0
Zotu586	0	0	0
Zotu790	0	0	0
Zotu29	0	455	52
Zotu1073	0	0	0
Zotu589	0	0	0
Zotu587	0	0	0
Zotu864	0	0	0
Zotu1075	0	0	0
Zotu1074	0	0	0
Zotu912	0	0	0
Zotu791	0	0	0
Zotu863	0	0	0
Zotu1078	0	0	1
Zotu98	127	0	0
Zotu1077	1	0	0
Zotu913	1	0	0
Zotu1079	1	0	0
Zotu22	1	0	0
Zotu1018	1	0	0
Zotu1076	1	0	0
Zotu138	0	0	0
Zotu415	0	0	0
Zotu499	0	0	0
Zotu500	0	0	0
Zotu861	0	0	0
Zotu1172	0	0	0
Zotu709	0	0	0
Zotu641	0	0	0
Zotu889	0	0	0
Zotu850	0	0	0
Zotu1057	0	0	0
Zotu441	0	0	0
Zotu890	0	0	0
Zotu1153	0	0	0
Zotu1175	0	0	0
Zotu14	0	10	24
Zotu710	0	0	0
Zotu1173	0	0	0
Zotu877	0	0	0
Zotu447	0	0	0
Zotu707	0	0	0
Zotu885	0	0	0
Zotu221	0	0	0
Zotu875	0	0	0
Zotu31	0	2	9
Zotu906	0	0	0
Zotu1164	0	0	0
Zotu1167	0	0	0
Zotu234	0	1	0
Zotu876	0	0	0
Zotu718	0	0	0
Zotu348	0	0	0
Zotu642	0	0	0
Zotu519	0	0	0
Zotu640	0	0	0
Zotu592	0	0	0
Zotu434	0	0	0
Zotu847	0	0	0
Zotu1141	0	0	0
Zotu548	0	0	0
Zotu381	0	0	0
Zotu593	0	0	0
Zotu1140	0	0	0
Zotu1142	0	0	0
Zotu932	0	0	0
Zotu549	0	0	0
Zotu739	0	0	0
Zotu48	0	0	0
Zotu174	0	0	0
Zotu1163	0	0	0
Zotu50	0	0	0
Zotu834	0	0	0
Zotu312	0	0	0
Zotu202	0	0	0
Zotu716	0	0	0
Zotu240	0	0	0
Zotu619	0	0	0
Zotu610	0	0	0
Zotu375	0	0	0
Zotu88	0	0	0
Zotu318	0	0	0
Zotu832	0	0	0
Zotu1029	0	0	0
Zotu933	0	0	0
Zotu223	0	0	0
Zotu216	0	0	0
Zotu211	0	0	0
Zotu17	0	0	0
Zotu896	0	0	0
Zotu838	0	0	0
Zotu1028	0	0	0
Zotu914	0	0	0
Zotu413	0	0	0
Zotu263	0	0	0
Zotu763	0	0	0
Zotu767	0	0	0
Zotu106	0	0	0
Zotu515	0	0	0
Zotu96	0	0	0
Zotu948	0	0	0
Zotu772	0	0	0
Zotu189	0	0	0
Zotu788	0	0	0
Zotu156	0	0	0
Zotu146	0	0	0
Zotu400	0	0	0
Zotu74	0	1	165
Zotu980	0	0	0
Zotu418	0	0	0
Zotu364	0	0	0
Zotu572	0	0	0
Zotu1155	0	0	0
Zotu94	0	0	1
Zotu720	0	0	0
