	NC_kit1	NC_kit2
Zotu4240	0	0
Zotu3385	0	0
Zotu2046	0	0
Zotu1716	0	0
Zotu863	0	0
Zotu5731	0	0
Zotu4814	0	0
Zotu2047	0	0
Zotu5168	0	0
Zotu718	0	0
Zotu1011	0	0
Zotu969	0	0
Zotu5116	0	0
Zotu4166	0	0
Zotu4823	0	0
Zotu3729	0	0
Zotu4659	0	0
Zotu5826	0	0
Zotu2971	0	0
Zotu1412	0	0
Zotu5825	0	0
Zotu119	0	0
Zotu131	0	0
Zotu3725	0	0
Zotu4079	0	0
Zotu5730	0	0
Zotu3342	0	0
Zotu5729	0	0
Zotu3104	0	0
Zotu1223	0	0
Zotu640	0	0
Zotu2049	0	0
Zotu1291	0	0
Zotu4096	0	0
Zotu5799	0	0
Zotu1430	0	0
Zotu4086	0	0
Zotu5811	0	0
Zotu5756	0	0
Zotu1211	0	0
Zotu4199	0	0
Zotu4004	0	0
Zotu4003	0	0
Zotu4000	0	0
Zotu823	0	0
Zotu1094	0	0
Zotu1931	0	0
Zotu4186	0	0
Zotu1566	0	0
Zotu4607	0	0
Zotu4864	0	0
Zotu3583	0	0
Zotu3037	0	0
Zotu748	0	0
Zotu600	0	0
Zotu3415	0	0
Zotu763	0	0
Zotu1912	0	0
Zotu142	0	0
Zotu4673	0	0
Zotu484	0	0
Zotu5843	0	0
Zotu3406	0	0
Zotu2674	0	0
Zotu205	0	0
Zotu648	0	0
Zotu1217	0	0
Zotu4697	0	0
Zotu4138	0	0
Zotu5792	0	0
Zotu1216	0	0
Zotu5411	0	0
Zotu5412	0	0
Zotu401	0	0
Zotu1569	0	0
Zotu3401	0	0
Zotu5390	0	0
Zotu2797	0	0
Zotu2853	0	0
Zotu941	0	0
Zotu3496	0	0
Zotu4878	0	0
Zotu551	0	0
Zotu854	0	0
Zotu1375	0	0
Zotu926	0	0
Zotu4898	0	0
Zotu2155	0	0
Zotu935	0	0
Zotu3766	0	0
Zotu4228	0	0
Zotu3849	0	0
Zotu1277	0	0
Zotu4903	0	0
Zotu5396	0	0
Zotu2906	0	0
Zotu2751	0	0
Zotu412	0	0
Zotu5754	0	0
Zotu1194	0	0
Zotu2403	0	0
Zotu15	0	0
Zotu571	0	0
Zotu5342	0	0
Zotu3974	0	0
Zotu2556	0	0
Zotu1734	0	0
Zotu3376	0	0
Zotu2685	0	0
Zotu3972	0	0
Zotu2008	0	0
Zotu4147	0	0
Zotu548	0	0
Zotu5708	0	0
Zotu2466	0	0
Zotu4676	0	0
Zotu1105	0	0
