asv_id	FP.GR18286	FP.GR18059	FP.GR18262	FP.GR18061	FP.GR18100	FP.GR18097	FP.GR18066	FP.GR18077	M1	M9	FP.GR18300	FP.GR18064	FP.GR18086	FP.GR18060	FP.GR18249	FP.GR18079	FP.GR18068	FP.GR18052	FP.GR18078	M2	M10	FP.GR18093	FP.GR18099	FP.GR18260	FP.GR18258	FP.GR18259	FP.GR18072	FP.GR18085	FP.GR18065	FP.GR18083	M3	M11	FP.GR18070	FP.GR18245	FP.GR18294	FP.GR18090	FP.GR18295	FP.GR18261	FP.GR18282	FP.GR18275	FP.GR18246	M4	M12	FP.GR18089	FP.GR18095	FP.GR18088	FP.GR18067	FP.GR18062	FP.GR18250	FP.GR18074	FP.GR18055	FP.GR18287	M5	FP.GR18296	FP.GR18284	FP.GR18087	FP.GR18063	FP.GR18272	FP.GR18069	FP.GR18053	FP.GR18082	FP.GR18056	FP.GR18264	M6	FP.GR18051	FP.GR18071	FP.GR18247	FP.GR18273	FP.GR18057	FP.GR18298	FP.GR18076	FP.GR18283	FP.GR18288	M7	FP.GR18073	FP.GR18080	FP.GR18054	FP.GR18252	FP.GR18075	FP.GR18096	FP.GR18081	FP.GR18098	FP.GR18094	M8	COI001013	Plant004013	COI002038	Plant007038	COI003076	Plant006076	KQZ2468_2
Zotu47	3	1	5	0	0	1	0	1	0	0	0	0	0	2	32	0	0	11	3	0	0	1	3	0	4	1	2	0	0	0	0	0	0	1	80	0	1	7	10	0	1	0	1	1	2	1	0	2	3	0	0	13	0	0	0	13	7	6	11	0	1	5	0	0	0	0	0	0	0	3	0	0	0	0	1	0	3	1	1	67	0	1	0	0	1	0	25	1	0	0	0
Zotu23	3	13	13	3	1	2	1	1	31	8	19	4	13	17	13	17	4	14	14	38	13	3	2	2	44	3	4	2	1	0	16	1	4	1	152	0	2	23	2	1	1	11	30	0	0	0	0	1	0	0	0	3	7	0	0	0	0	17	3	0	0	1	2	16	1	0	2	0	3	23	1	0	0	1	0	0	0	1	28	0	0	0	0	0	2	2	2	1	22	1	17
Zotu116	1	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	1	0	0	0	47	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
Zotu4	72	49	22	58	41	5594	55	27	28	57	21	1702	15	26	19	21	21	25	18	12	42	4	10	1	21	3	10	8	9	0	0	85	4	15	5	15	32	15	8	5035	2	1	63	32	29	24	1888	25	45	26	30	9	27	69	25	13	16	28	25	5635	20	24	11	11	42	6384	19	25	17	23	23	38	14	105	139	487	16	1437	19	64	23	21	13	62	5	10	38	39	29	21	19
Zotu92	2	18	0	0	0	0	0	0	0	0	0	1	1	0	4	0	1	0	4	0	4	1	0	1	2	12	4	0	0	0	1	0	5	0	15	1	0	3	0	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	0	0	0	17	0	0	2	0	0	0	0	0	1	0	0	5	0	1	0	0	1	0	0	0	26	0	0	0	0	0	1	2	3	0	0	0	1
Zotu212	4	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	6	0	0	0	0	1	0	0	0	12	0	0	0	3	0	7	0	1	0	0	0	1	0	3	0	6	0	2	0	0	2	0	0	1	0	1	0	0	0	0
Zotu423	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Zotu188	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	3	2	1	0	1	0	1	0	1	0	2	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	3	2	1	0	0	9	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0
Zotu129	4	0	0	0	0	0	0	0	0	0	1	0	0	15	31	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	1	5	0	6	0	0	0	0	0	0
Zotu8	2	8	169	27	3	427	3	1	5	1	4	319	3	43	5	1	4	2	16	7	1	2	5	2	112	281	0	1	0	0	9	13	1	4	107	48	2	6	2	155	1	9	10	2	4	0	35	23	1	3	1	0	24	7	0	3	5	37	0	343	0	3	0	9	1	507	1	49	0	1	1	1	1	9	14	603	13	6389	7	14	6	3	4	1308	2	0	2	1	1	7	1
