OTUID	Taxon	Confidence
a9a13e9ea58cfe717da555e8823ce648	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__kroppenstedtii	0.9999994983331085
b700c4898a257ac909651dfd7aef7331	k__Bacteria; p__Actinobacteria; c__Actinobacteria	0.9999994502611808
d06816775f60ab66774c533fa1395df6	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__delbrueckii	0.9996979967732114
6b7a06b80a74b26c0bee5bcb422c28a6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9856510566400818
91ef9de909664a17da318f946b1f883e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__	0.9995570823992665
37b1361ae69469203fa29bc9619d12ee	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__; s__	0.9860112536372555
32220d44b3c7f00e6d0879143d22a7f0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.7148868361860761
55fcdd0e675641c5a79ca81f62491772	k__Bacteria; p__; c__; o__; f__; g__; s__	0.8120282599990776
0107ea868b4ace5fc2d0ed3f63a4953b	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	0.999999991859845
b92b8c6673ddc21a879e482e5702bfb0	k__Bacteria; p__; c__; o__; f__; g__; s__	0.7182390295015125
f290a8c9064bb780bb2f0aa72d4fa05b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__delbrueckii	0.9994614290421304
e01ea9b8d5faefd1f0d7f67c13f01c21	k__Bacteria; p__; c__; o__; f__; g__; s__	0.8445400815001459
484051cc0bb883461fa0126a335dce1a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.999973524548892
1146865d12974dcb9d314ca9fbff3b94	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	0.7945716508217774
594a7bdec047c5a4492488a064197bf6	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__salivarius	0.8505817015517027
b064d17a6b383071d2255ddcb3b6b5d3	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Brooklawnia; s__cerclae	0.9446451516920983
90b750790a804064cf7537f6ef7db11b	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__kroppenstedtii	0.9999992057371713
14f204372fc05b3748d3dbebc8673466	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__delbrueckii	0.9998390265227712
ad29d858fa81ae13dbe5071ce12185fb	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.999966601624456
05d345293be7292e57d6a50d762ebe16	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9484554574572247
558fa369d6495191edbcff9d2ae0e4ef	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__	0.8383972615537364
72c1e3c53fdaa51e2341a8f5e91ecc68	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium	0.9998839412357436
d764d0d819a9c4fcc86aefd6256e70fa	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999608968155577
4c692b117637dbbcff2b2923a9f284d2	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__	0.9996959259580174
e7a384b4815cbd53ea26126ac8ec4c03	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__; s__	0.9746354917601676
